Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,have,in,wear,of,with,behind,near,hold,on a,have a,next to,on top of,of a,by,under,sit on,in front of,above,on side of,wear a,rid,stand on,be on,beside,stand in,walk on,attach to,eat,at,in a,cover,over,be in,carry,hang on,belong to,on front of,around,lay on,sit in,below,inside,along,for,watch,between,hang from,inside of,play,Pre on,have,in,wear,of,with,behind,near,hold,on a,have a,next to,on top of,of a,by,under,sit on,in front of,above,on side of,wear a,rid,stand on,be on,beside,stand in,walk on,attach to,eat,at,in a,cover,over,be in,carry,hang on,belong to,on front of,around,lay on,sit in,below,inside,along,for,watch,between,hang from,inside of,play,Pre on,have,in,wear,of,with,behind,near,hold,on a,have a,next to,on top of,of a,by,under,sit on,in front of,above,on side of,wear a,rid,stand on,be on,beside,stand in,walk on,attach to,eat,at,in a,cover,over,be in,carry,hang on,belong to,on front of,around,lay on,sit in,below,inside,along,for,watch,between,hang from,inside of,play,Pre on,have,in,wear,of,with,behind,near,hold,on a,have a,next to,on top of,of a,by,under,sit on,in front of,above,on side of,wear a,rid,stand on,be on,beside,stand in,walk on,attach to,eat,at,in a,cover,over,be in,carry,hang on,belong to,on front of,around,lay on,sit in,below,inside,along,for,watch,between,hang from,inside of,play,Pre avg. on,have,in,wear,of,with,behind,near,hold,on a,have a,next to,on top of,of a,by,under,sit on,in front of,above,on side of,wear a,rid,stand on,be on,beside,stand in,walk on,attach to,eat,at,in a,cover,over,be in,carry,hang on,belong to,on front of,around,lay on,sit in,below,inside,along,for,watch,between,hang from,inside of,play
3,88.44013164262898,44.48844884488449,72.4155454457458,19.537953795379536,56.220519932159704,97.80236097705843,96.08355091383812,92.8436911487759,98.97902869757175,92.94156270518712,80.039331366765,89.64435146443515,74.0,91.65402124430956,64.03940886699507,78.29313543599258,65.68627450980392,61.89427312775331,67.42596810933941,56.01092896174863,70.64439140811456,64.90683229813664,49.60629921259843,73.91304347826086,53.57142857142857,87.76978417266187,96.83257918552036,57.831325301204814,23.651452282157674,32.02614379084967,40.0,77.34375,30.726256983240223,74.56140350877193,78.51851851851852,42.0,51.515151515151516,52.72727272727272,31.25,69.66292134831461,89.1891891891892,36.08247422680412,35.64356435643564,41.17647058823529,41.55844155844156,75.0,36.144578313253014,55.88235294117647,31.11111111111111,30.864197530864196,50.877192982456144,12.244897959183673,13.636363636363635,11.76470588235294,0.0,82.99319727891157,62.0253164556962,71.91011235955057,33.33333333333333,55.81395348837209,73.17073170731707,53.62318840579711,55.208333333333336,53.84615384615385,58.620689655172406,54.83870967741935,56.666666666666664,22.666666666666664,20.0,44.61538461538462,27.027027027027028,34.48275862068966,27.906976744186046,21.62162162162162,26.666666666666668,0.0,0.0,16.666666666666664,25.806451612903224,21.875,22.22222222222222,14.285714285714285,33.33333333333333,33.33333333333333,0.0,26.666666666666668,20.0,15.384615384615385,16.666666666666664,0.0,0.0,25.0,0.0,27.27272727272727,23.809523809523807,16.666666666666664,14.285714285714285,50.0,9.090909090909092,13.333333333333334,50.0,6.25,20.0,0.0,0.0,88.80392011285173,87.13664055700609,77.42467043314501,93.40507726269315,77.74130006565989,45.329400196656835,70.60669456066945,34.42857142857143,71.6236722306525,20.361247947454846,32.28200371057514,24.11764705882353,27.973568281938327,25.05694760820046,19.398907103825135,46.77804295942721,37.88819875776397,28.74015748031496,56.52173913043478,17.857142857142858,34.53237410071942,71.49321266968326,14.056224899598394,8.71369294605809,7.18954248366013,12.653061224489795,41.40625,3.35195530726257,28.947368421052634,42.96296296296296,14.666666666666666,28.78787878787879,24.545454545454547,4.166666666666666,34.831460674157306,39.189189189189186,2.0618556701030926,4.9504950495049505,16.176470588235293,14.285714285714285,52.94117647058824,20.481927710843372,19.11764705882353,11.11111111111111,2.4691358024691357,14.035087719298245,2.0408163265306123,0.0,0.0,0.0,61.904761904761905,36.708860759493675,33.70786516853933,25.0,16.27906976744186,20.73170731707317,33.33333333333333,14.583333333333334,19.230769230769234,34.48275862068966,9.67741935483871,20.0,9.333333333333334,13.333333333333334,12.307692307692308,16.216216216216218,6.896551724137931,11.627906976744185,5.405405405405405,0.0,0.0,0.0,8.333333333333332,3.225806451612903,0.0,11.11111111111111,0.0,0.0,33.33333333333333,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,10.204081632653061,16.666666666666664,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,82.8760600683959,70.48859217150853,68.97158477750271,62.679359823399565,60.69397150666524,54.817792646953016,61.801891941058756,44.555059523809526,59.08865413797129,44.376026272577995,43.77281704470645,41.61764705882353,30.466960352422905,31.4540622627183,33.08322824716268,40.166419402696256,36.04358535018205,29.470335103460904,39.36545240893067,24.523809523809526,30.575539568345324,42.081447963800905,24.2218875502008,15.349350823182972,15.272671568627452,21.496598639455783,33.25892857142857,16.85288640595903,42.54385964912281,30.37037037037037,20.833333333333336,25.075757575757578,25.087412587412587,13.020833333333332,26.123595505617978,32.0945945945946,15.786082474226804,10.148514851485148,21.15641711229946,21.103896103896105,36.15196078431372,20.27907548561593,35.416666666666664,15.1010101010101,11.666666666666666,28.728070175438596,5.133928571428572,8.409090909090908,2.941176470588235,0.0
4,89.70332010453973,46.930693069306926,73.73923143935728,21.386138613861387,57.939845806766336,97.80236097705843,96.93646649260226,93.71468926553672,99.06181015452539,93.66382140512147,80.7276302851524,90.1673640167364,78.0,93.17147192716236,56.32183908045977,81.81818181818183,75.29411764705883,61.89427312775331,79.72665148063781,60.92896174863388,71.83770883054893,73.29192546583852,58.661417322834644,77.07509881422925,62.05357142857143,76.97841726618705,95.92760180995475,65.06024096385542,25.311203319502074,41.17647058823529,44.89795918367347,75.0,39.10614525139665,95.6140350877193,77.77777777777779,52.666666666666664,58.333333333333336,65.45454545454545,64.58333333333334,75.28089887640449,86.48648648648648,64.94845360824742,56.43564356435643,38.23529411764706,46.75324675324675,70.58823529411765,28.915662650602407,45.588235294117645,33.33333333333333,53.086419753086425,45.614035087719294,16.3265306122449,31.818181818181817,8.823529411764707,20.0,88.43537414965986,67.08860759493672,73.03370786516854,41.66666666666667,62.7906976744186,74.39024390243902,53.62318840579711,56.25,53.84615384615385,58.620689655172406,70.96774193548387,56.666666666666664,20.0,26.666666666666668,43.07692307692308,31.08108108108108,44.827586206896555,30.23255813953488,37.83783783783784,26.666666666666668,0.0,0.0,16.666666666666664,12.903225806451612,25.0,22.22222222222222,14.285714285714285,33.33333333333333,33.33333333333333,0.0,16.666666666666664,20.0,23.076923076923077,16.666666666666664,0.0,0.0,50.0,0.0,22.727272727272727,28.57142857142857,16.666666666666664,14.285714285714285,66.66666666666666,9.090909090909092,26.666666666666668,10.0,25.0,80.0,0.0,0.0,88.40299948028807,88.32027850304613,79.91996233521658,95.30905077262693,80.66316480630334,46.11602753195674,72.38493723849372,34.57142857142857,73.89984825493171,18.7192118226601,36.54916512059369,31.372549019607842,24.44933920704846,35.7630979498861,21.85792349726776,42.482100238663485,42.54658385093168,31.10236220472441,63.63636363636363,19.196428571428573,31.654676258992804,64.25339366515837,17.670682730923694,9.12863070539419,9.15032679738562,9.795918367346939,41.40625,8.938547486033519,68.42105263157895,44.44444444444444,14.666666666666666,37.121212121212125,30.909090909090907,12.5,57.30337078651685,62.16216216216216,5.154639175257731,13.861386138613863,5.88235294117647,14.285714285714285,52.94117647058824,13.253012048192772,14.705882352941178,15.555555555555555,16.049382716049383,17.543859649122805,2.0408163265306123,2.272727272727273,0.0,0.0,61.904761904761905,46.835443037974684,40.44943820224719,33.33333333333333,27.906976744186046,18.29268292682927,34.78260869565217,13.541666666666666,23.076923076923077,31.03448275862069,12.903225806451612,25.0,9.333333333333334,20.0,12.307692307692308,14.864864864864865,17.24137931034483,11.627906976744185,8.108108108108109,6.666666666666667,0.0,0.0,8.333333333333332,6.451612903225806,0.0,0.0,0.0,4.761904761904762,33.33333333333333,0.0,0.0,0.0,7.6923076923076925,8.333333333333332,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,8.16326530612245,0.0,9.090909090909092,6.666666666666667,0.0,0.0,0.0,0.0,0.0,84.13637412794208,74.79519890713995,71.77944941704226,67.34271523178808,66.25616515750737,54.88164616159436,62.73952458916985,45.5907738095238,60.998599276292744,41.174055829228244,50.55957867017776,47.083333333333336,28.919236417033776,40.53910402429764,34.54287515762926,40.06643875378959,44.47686870850289,32.90606116095953,46.6643520991347,28.645833333333336,27.158273381294965,40.04524886877828,26.932730923694773,13.44866818364342,18.831699346405227,19.22902494331066,32.67299107142857,21.534982708167064,57.67543859649122,30.555555555555557,21.0,28.863636363636367,31.783216783216783,25.520833333333332,33.146067415730336,37.16216216216216,30.025773195876287,17.574257425742573,16.711229946524064,23.59307359307359,35.049019607843135,16.15441357265798,31.74019607843137,16.767676767676768,25.617283950617285,18.289473684210524,10.841836734693876,28.52272727272727,2.2058823529411766,5.0
5,89.60410415255058,46.666666666666664,73.86748620656277,21.980198019801982,58.029613761395495,97.86175662632712,96.97127937336815,93.92655367231639,99.03421633554083,93.92646093237033,79.64601769911505,90.3765690376569,78.14285714285715,93.77845220030349,55.82922824302135,83.11688311688312,77.64705882352942,62.77533039647577,74.03189066059225,61.74863387978142,70.16706443914082,70.4968944099379,57.48031496062992,78.26086956521739,59.82142857142857,81.65467625899281,95.92760180995475,65.06024096385542,26.556016597510375,35.294117647058826,38.36734693877551,75.78125,38.547486033519554,91.22807017543859,77.03703703703704,36.666666666666664,57.57575757575758,62.727272727272734,66.66666666666666,73.03370786516854,87.83783783783784,67.0103092783505,53.46534653465347,44.11764705882353,51.94805194805194,75.0,31.32530120481928,44.11764705882353,33.33333333333333,51.85185185185185,36.84210526315789,12.244897959183673,29.545454545454547,11.76470588235294,0.0,86.39455782312925,64.55696202531645,71.91011235955057,41.66666666666667,65.11627906976744,71.95121951219512,53.62318840579711,56.25,57.692307692307686,55.172413793103445,67.74193548387096,51.66666666666667,26.666666666666668,26.666666666666668,46.15384615384615,31.08108108108108,41.37931034482759,27.906976744186046,29.72972972972973,20.0,0.0,0.0,33.33333333333333,16.129032258064516,18.75,22.22222222222222,14.285714285714285,42.857142857142854,33.33333333333333,0.0,23.333333333333332,20.0,19.230769230769234,16.666666666666664,0.0,0.0,50.0,0.0,31.818181818181817,28.57142857142857,16.666666666666664,14.285714285714285,66.66666666666666,9.090909090909092,26.666666666666668,10.0,18.75,80.0,8.333333333333332,0.0,88.7074021827901,88.92950391644908,79.23728813559322,96.02649006622516,80.17071569271175,43.067846607669615,72.69874476987448,34.57142857142857,77.54172989377845,16.912972085385878,44.15584415584416,36.470588235294116,27.53303964757709,30.52391799544419,22.404371584699454,40.09546539379475,41.92546583850932,30.708661417322837,64.82213438735178,16.071428571428573,30.215827338129497,61.085972850678736,21.285140562248998,8.71369294605809,7.8431372549019605,14.285714285714285,39.84375,6.70391061452514,59.64912280701754,39.25925925925926,12.0,31.818181818181817,28.18181818181818,16.666666666666664,47.19101123595505,52.702702702702695,4.123711340206185,15.841584158415841,10.294117647058822,22.07792207792208,55.88235294117647,12.048192771084338,14.705882352941178,15.555555555555555,14.814814814814813,14.035087719298245,2.0408163265306123,4.545454545454546,2.941176470588235,0.0,60.544217687074834,43.037974683544306,43.82022471910113,33.33333333333333,23.25581395348837,20.73170731707317,33.33333333333333,14.583333333333334,23.076923076923077,31.03448275862069,29.03225806451613,28.333333333333332,10.666666666666668,20.0,18.461538461538463,18.91891891891892,13.793103448275861,11.627906976744185,8.108108108108109,6.666666666666667,0.0,0.0,8.333333333333332,3.225806451612903,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,3.8461538461538463,8.333333333333332,0.0,0.0,0.0,0.0,4.545454545454546,4.761904761904762,0.0,6.122448979591836,0.0,9.090909090909092,6.666666666666667,0.0,0.0,0.0,0.0,0.0,83.37698357983032,73.3739299996695,72.22354472164032,67.51517660044149,65.61731741208447,53.84919778401324,62.50795888666546,45.886904761904766,63.02235321582817,39.73727422003284,56.011730205278596,48.529411764705884,31.910425844346552,37.805618830675776,37.19209751996637,40.06563245823389,41.898693510387666,31.93096502472075,45.23021044760175,25.639880952380953,27.967625899280577,39.25339366515837,32.00301204819277,13.656137063311471,15.471813725490197,18.718820861678005,32.47767857142857,23.217611066773078,46.05263157894736,29.074074074074076,18.0,27.348484848484848,28.4965034965035,27.083333333333325,30.056179775280896,35.13513513513513,30.283505154639172,17.32673267326733,22.69385026737968,26.839826839826838,36.88725490196078,15.945414310302434,31.372549019607842,16.767676767676768,25.0,15.219298245614034,8.258928571428571,28.522727272727273,5.7598039215686265,0.0
