Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,90.14869888475836,75.25354969574036,72.23048327137546,44.11764705882353,70.43759472767444,99.93011879804332,97.68392370572208,96.9258589511754,94.12780656303973,88.26405867970661,88.4020618556701,95.48192771084338,78.97727272727273,61.25000000000001,95.80838323353294,35.22727272727273,29.126213592233007,82.71604938271605,52.27272727272727,53.84615384615385,0.0,25.0,0.0,0.0,0.0,0.0,98.88888888888889,94.66666666666667,90.69767441860465,93.6842105263158,74.15730337078652,73.21428571428571,96.90721649484536,59.64912280701754,43.47826086956522,77.27272727272727,33.33333333333333,27.27272727272727,60.71428571428571,41.86046511627907,52.0,0.0,0.0,0.0,0.0,0.0,nan,99.02166317260657,84.19618528610354,87.34177215189874,73.57512953367875,48.41075794621027,73.71134020618557,55.12048192771084,48.29545454545455,9.375,78.44311377245509,2.272727272727273,3.8834951456310676,38.2716049382716,3.4090909090909087,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,93.33333333333333,73.33333333333333,56.97674418604651,55.78947368421052,25.842696629213485,53.57142857142857,54.63917525773196,15.789473684210526,6.521739130434782,50.0,2.7777777777777777,4.545454545454546,10.714285714285714,4.651162790697675,8.0,0.0,0.0,0.0,0.0,0.0,nan,97.79350104821802,87.4700272479564,82.98551242693132,79.2941550768112,59.16870415647922,72.22477908689248,75.53720034778289,50.67783094098884,30.15625,75.38105606967882,18.402777777777775,16.20697263901147,48.10405643738977,25.548361522198732,30.384615384615383,0.0,6.25,0.0,0.0,0.0,0.0
4,90.40892193308551,74.4421906693712,73.19702602230484,45.740365111561864,70.94712593408086,99.86023759608665,97.82016348773843,96.02169981916818,97.40932642487047,91.93154034229829,90.20618556701031,93.07228915662651,78.97727272727273,63.125,89.22155688622755,31.818181818181817,37.86407766990291,86.41975308641975,42.04545454545455,42.30769230769231,0.0,25.0,0.0,0.0,0.0,0.0,97.77777777777777,94.66666666666667,86.04651162790698,95.78947368421052,78.65168539325843,73.21428571428571,92.78350515463917,59.64912280701754,41.30434782608695,72.72727272727273,30.555555555555557,31.818181818181817,67.85714285714286,34.883720930232556,40.0,0.0,0.0,0.0,0.0,0.0,nan,98.9517819706499,86.10354223433242,84.81012658227847,82.90155440414507,59.65770171149144,76.28865979381443,40.66265060240964,46.02272727272727,12.5,65.86826347305389,2.272727272727273,4.854368932038835,51.85185185185185,3.4090909090909087,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,93.33333333333333,78.0,53.48837209302325,66.3157894736842,38.20224719101123,57.14285714285714,46.391752577319586,15.789473684210526,8.695652173913043,27.27272727272727,2.7777777777777777,4.545454545454546,14.285714285714285,4.651162790697675,8.0,0.0,0.0,0.0,0.0,0.0,nan,97.4807826694619,89.14759309718437,80.09167753059423,85.60403599672757,67.11079365951484,74.2129970544919,68.22754937274874,50.10964912280702,31.40625,63.77245508982036,16.856060606060602,19.770520741394527,55.10361552028218,21.24735729386892,24.01923076923077,0.0,6.25,0.0,0.0,0.0,0.0
5,90.31598513011151,73.73225152129818,73.53159851301115,46.0446247464503,70.90611497771779,99.86023759608665,97.82016348773843,95.29837251356238,96.89119170984456,92.1760391198044,90.72164948453609,93.67469879518072,77.27272727272727,63.74999999999999,92.81437125748504,34.090909090909086,30.097087378640776,86.41975308641975,40.909090909090914,42.30769230769231,0.0,25.0,0.0,0.0,0.0,0.0,97.77777777777777,94.66666666666667,81.3953488372093,94.73684210526315,79.7752808988764,73.21428571428571,93.81443298969072,54.385964912280706,41.30434782608695,77.27272727272727,30.555555555555557,27.27272727272727,67.85714285714286,34.883720930232556,40.0,0.0,0.0,0.0,0.0,0.0,nan,98.88190076869321,85.83106267029973,83.7251356238698,82.21070811744386,60.391198044009776,76.5463917525773,46.08433734939759,45.45454545454545,11.875,74.8502994011976,3.4090909090909087,3.8834951456310676,46.913580246913575,3.4090909090909087,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,93.33333333333333,76.66666666666667,48.837209302325576,66.3157894736842,38.20224719101123,57.14285714285714,50.51546391752577,15.789473684210526,8.695652173913043,45.45454545454545,5.555555555555555,4.545454545454546,14.285714285714285,4.651162790697675,8.0,0.0,0.0,0.0,0.0,0.0,nan,97.46331236897274,88.74613987284287,77.31401656924176,85.03863285155894,67.63619131342546,74.40629602356407,71.0222332629487,48.22567783094098,31.406249999999996,72.59798584648884,18.402777777777775,16.449691085613413,53.86904761904761,20.96326638477801,24.01923076923077,0.0,6.25,0.0,0.0,0.0,0.0
