Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,89.66542750929368,69.77687626774848,76.33828996282529,45.233265720081135,70.25346486498714,98.74213836477988,92.91553133514986,86.25678119349006,95.33678756476684,89.48655256723717,90.97938144329896,85.8433734939759,76.13636363636364,86.25,90.41916167664671,80.68181818181817,39.80582524271845,87.65432098765432,50.0,75.0,18.181818181818183,12.5,27.27272727272727,0.0,0.0,100.0,84.44444444444444,80.0,66.27906976744185,87.36842105263159,77.52808988764045,78.57142857142857,78.35051546391753,52.63157894736842,73.91304347826086,50.0,66.66666666666666,22.727272727272727,71.42857142857143,30.23255813953488,72.0,14.285714285714285,16.666666666666664,20.0,0.0,0.0,nan,96.71558350803635,83.2425068119891,77.39602169981917,79.44732297063904,74.08312958435208,84.02061855670104,66.86746987951807,45.45454545454545,44.375,83.8323353293413,27.27272727272727,7.766990291262135,35.80246913580247,5.681818181818182,25.0,0.0,0.0,18.181818181818183,0.0,0.0,100.0,68.88888888888889,62.0,36.04651162790697,57.89473684210527,56.17977528089888,69.64285714285714,56.70103092783505,28.07017543859649,28.26086956521739,40.909090909090914,16.666666666666664,6.8181818181818175,21.428571428571427,6.976744186046512,16.0,0.0,0.0,20.0,0.0,0.0,nan,87.19776380153738,79.53950953678475,66.49459607216451,80.01181710753568,74.31938683003214,80.80357142857142,71.94059744131164,50.5731658692185,58.19972826086956,66.29014697876973,47.82196969696969,19.27956751985878,54.078483245149904,23.222780126849898,47.0,8.116883116883116,7.291666666666666,21.363636363636363,0.0,0.0,100.0
4,89.81412639405204,69.1683569979716,76.43122676579925,45.030425963488845,70.11103403032793,98.74213836477988,92.91553133514986,86.79927667269439,95.16407599309153,90.2200488997555,91.49484536082474,89.45783132530121,75.0,85.625,91.61676646706587,81.81818181818183,33.00970873786408,86.41975308641975,42.04545454545455,76.92307692307693,18.181818181818183,25.0,36.36363636363637,0.0,20.0,100.0,84.44444444444444,78.66666666666666,66.27906976744185,87.36842105263159,79.7752808988764,75.0,81.44329896907216,50.877192982456144,73.91304347826086,54.54545454545454,66.66666666666666,15.909090909090908,67.85714285714286,20.930232558139537,72.0,14.285714285714285,16.666666666666664,40.0,0.0,0.0,nan,96.71558350803635,82.42506811989101,78.11934900542495,80.48359240069085,73.59413202933986,81.70103092783505,68.07228915662651,50.0,47.5,83.8323353293413,29.545454545454547,3.8834951456310676,33.33333333333333,3.4090909090909087,26.923076923076923,0.0,0.0,18.181818181818183,0.0,0.0,100.0,72.22222222222221,63.33333333333333,36.04651162790697,58.94736842105262,56.17977528089888,58.92857142857143,58.76288659793815,28.07017543859649,26.08695652173913,40.909090909090914,19.444444444444446,2.272727272727273,17.857142857142858,4.651162790697675,16.0,0.0,0.0,20.0,0.0,0.0,nan,88.03109713487072,79.33514986376021,66.81105176836704,80.49086446686664,74.94230927721766,76.78111192930781,74.43407651223451,50.98684210526316,58.28125,67.72591181273816,49.36868686868688,13.768755516328332,51.3668430335097,17.758985200845665,47.96153846153847,8.116883116883116,10.416666666666666,28.63636363636364,0.0,5.0,100.0
5,89.53531598513011,67.8498985801217,76.2081784386617,44.01622718052739,69.40240504611023,98.6722571628232,92.91553133514986,86.07594936708861,94.64594127806562,89.24205378973105,92.0103092783505,87.95180722891565,73.86363636363636,86.875,92.81437125748504,81.81818181818183,31.06796116504854,88.88888888888889,36.36363636363637,80.76923076923077,18.181818181818183,25.0,36.36363636363637,0.0,40.0,100.0,83.33333333333334,78.0,65.11627906976744,84.21052631578947,76.40449438202246,73.21428571428571,79.38144329896907,45.614035087719294,76.08695652173914,63.63636363636363,69.44444444444444,13.636363636363635,75.0,13.953488372093023,72.0,14.285714285714285,16.666666666666664,40.0,0.0,0.0,nan,96.71558350803635,82.1525885558583,77.57685352622062,78.75647668393782,71.88264058679707,83.24742268041237,68.07228915662651,48.29545454545455,48.75,84.4311377245509,32.95454545454545,3.8834951456310676,33.33333333333333,3.4090909090909087,28.846153846153843,0.0,0.0,18.181818181818183,0.0,0.0,100.0,72.22222222222221,60.66666666666667,36.04651162790697,54.736842105263165,52.80898876404494,58.92857142857143,57.73195876288659,26.31578947368421,23.91304347826087,45.45454545454545,22.22222222222222,2.272727272727273,21.428571428571427,4.651162790697675,20.0,0.0,0.0,20.0,0.0,0.0,nan,87.73584905660378,78.43369663941871,66.20389839774592,78.08744659576402,72.58454438064888,76.850147275405,73.28437461184946,48.52222886762361,58.90625,71.58410451823626,51.609848484848484,12.71513680494263,54.66269841269841,14.594344608879494,50.40384615384615,8.116883116883116,10.416666666666666,28.63636363636364,0.0,10.0,100.0
