Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,86.7100371747212,66.43002028397565,70.91078066914498,40.77079107505071,66.20540730072312,98.74213836477988,97.00272479564033,95.11754068716094,91.8825561312608,78.72860635696821,97.9381443298969,92.16867469879519,90.3409090909091,7.5,76.64670658682635,18.181818181818183,46.601941747572816,83.9506172839506,46.590909090909086,0.0,0.0,12.5,9.090909090909092,0.0,0.0,0.0,85.55555555555556,92.66666666666666,82.55813953488372,77.89473684210526,59.55056179775281,94.64285714285714,89.69072164948454,77.19298245614034,6.521739130434782,54.54545454545454,2.7777777777777777,27.27272727272727,60.71428571428571,25.581395348837212,0.0,0.0,0.0,20.0,0.0,0.0,nan,97.06498951781971,80.51771117166211,87.16094032549728,78.41105354058722,35.2078239608802,94.58762886597938,46.68674698795181,58.52272727272727,1.875,58.68263473053892,0.0,2.912621359223301,25.925925925925924,5.681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.11111111111111,64.0,55.81395348837209,56.84210526315789,15.730337078651685,82.14285714285714,46.391752577319586,31.57894736842105,0.0,22.727272727272727,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,90.61844863731656,83.54677565849227,80.1626435089785,76.25761294427778,47.304332298563224,92.32787187039764,68.73447397838778,64.40889154704945,3.9741847826086953,53.15051714752313,5.2398989898989905,19.196822594880846,45.32627865961199,19.46353065539112,0.0,0.0,3.125,7.272727272727273,0.0,0.0,0.0
4,87.19330855018588,66.83569979716025,71.93308550185874,42.190669371196755,67.0381908051004,98.74213836477988,97.41144414168937,94.2133815551537,94.99136442141624,80.440097799511,97.68041237113401,92.16867469879519,93.75,5.0,84.4311377245509,18.181818181818183,38.83495145631068,80.24691358024691,46.590909090909086,1.9230769230769231,0.0,12.5,0.0,0.0,0.0,0.0,85.55555555555556,93.33333333333333,79.06976744186046,82.10526315789474,60.67415730337079,92.85714285714286,89.69072164948454,84.21052631578947,6.521739130434782,59.09090909090909,5.555555555555555,25.0,53.57142857142857,25.581395348837212,0.0,0.0,0.0,0.0,0.0,0.0,nan,97.13487071977637,82.28882833787466,86.98010849909585,82.72884283246978,38.63080684596577,90.20618556701031,43.674698795180724,67.61363636363636,0.625,73.65269461077844,0.0,1.9417475728155338,17.28395061728395,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,67.33333333333333,53.48837209302325,61.05263157894737,19.101123595505616,75.0,44.329896907216494,40.35087719298245,0.0,36.36363636363637,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,91.19147449336128,85.09173478655767,78.43790739728331,80.21952549768204,49.71154638608829,88.9359351988218,67.46599801266925,71.48125996810208,3.0366847826086953,63.3845944474687,5.934343434343434,16.44417475728155,40.45414462081129,19.17943974630021,0.4807692307692308,0.0,3.125,0.0,0.0,0.0,0.0
5,87.32342007434944,66.63286004056795,72.19330855018588,42.393509127789045,67.13577444822307,98.53249475890985,98.22888283378747,95.66003616636529,95.33678756476684,79.70660146699267,97.42268041237114,89.45783132530121,92.61363636363636,4.375,85.62874251497006,26.136363636363637,39.80582524271845,80.24691358024691,46.590909090909086,1.9230769230769231,0.0,12.5,0.0,0.0,0.0,0.0,84.44444444444444,95.33333333333334,82.55813953488372,83.15789473684211,59.55056179775281,92.85714285714286,84.5360824742268,80.7017543859649,4.3478260869565215,59.09090909090909,8.333333333333332,25.0,53.57142857142857,25.581395348837212,0.0,0.0,0.0,0.0,0.0,0.0,nan,96.78546470999301,86.10354223433242,88.24593128390596,83.7651122625216,37.89731051344744,88.65979381443299,40.66265060240964,63.06818181818182,0.0,74.25149700598801,2.272727272727273,1.9417475728155338,18.51851851851852,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,72.66666666666667,58.139534883720934,63.1578947368421,16.853932584269664,75.0,38.144329896907216,38.59649122807017,0.0,36.36363636363637,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,89.94060097833682,88.08310626702998,81.15091046721898,81.35442232524315,48.50210159061565,88.48490427098675,63.20022357471122,68.74501594896331,2.1807065217391304,63.83369624387589,9.18560606060606,16.686893203883493,40.76278659611994,19.747621564482028,0.4807692307692308,0.0,3.125,0.0,0.0,0.0,0.0
