Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,84.40520446096654,58.82352941176471,70.03717472118959,40.06085192697768,63.33169013022463,97.20475192173306,91.82561307901908,83.3634719710669,92.2279792746114,85.57457212713936,92.5257731958763,59.337349397590366,78.97727272727273,70.0,88.62275449101796,18.181818181818183,28.155339805825243,79.01234567901234,14.772727272727273,96.15384615384616,0.0,12.5,9.090909090909092,0.0,40.0,0.0,75.55555555555556,78.66666666666666,45.348837209302324,66.3157894736842,67.41573033707866,69.64285714285714,58.76288659793815,54.385964912280706,50.0,50.0,25.0,22.727272727272727,60.71428571428571,27.906976744186046,92.0,0.0,0.0,0.0,0.0,0.0,nan,95.38784067085953,77.79291553133515,74.14104882459313,76.51122625215889,59.65770171149144,83.24742268041237,21.686746987951807,58.52272727272727,21.25,71.8562874251497,2.272727272727273,6.796116504854369,25.925925925925924,6.8181818181818175,86.53846153846155,0.0,0.0,9.090909090909092,0.0,20.0,0.0,66.66666666666666,62.66666666666667,32.55813953488372,52.63157894736842,42.69662921348314,55.35714285714286,23.711340206185564,36.84210526315789,19.565217391304348,31.818181818181817,0.0,13.636363636363635,10.714285714285714,13.953488372093023,76.0,0.0,0.0,0.0,0.0,0.0,nan,83.7037037037037,77.73796548592189,58.852874384961524,71.92164348695573,63.836158347298145,75.19329896907217,40.87458079741647,57.18201754385965,40.203804347826086,60.57430593358737,11.363636363636365,17.828773168578994,44.091710758377424,15.862843551797042,87.67307692307693,0.0,3.125,4.545454545454546,0.0,15.0,0.0
4,84.9814126394052,57.809330628803245,70.92936802973978,39.046653144016226,63.191691110491114,97.27463312368972,91.14441416893733,87.88426763110307,91.19170984455958,84.59657701711491,91.49484536082474,58.43373493975904,82.38636363636364,70.625,91.01796407185628,22.727272727272727,33.980582524271846,81.48148148148148,20.454545454545457,90.38461538461539,9.090909090909092,12.5,9.090909090909092,0.0,60.0,0.0,73.33333333333333,75.33333333333333,54.65116279069767,64.21052631578948,64.04494382022472,67.85714285714286,52.57731958762887,57.89473684210527,52.17391304347826,50.0,25.0,22.727272727272727,57.14285714285714,30.23255813953488,80.0,14.285714285714285,0.0,0.0,0.0,0.0,nan,95.66736547868622,78.33787465940054,78.11934900542495,74.95682210708118,61.61369193154034,81.44329896907216,22.89156626506024,65.9090909090909,20.625,75.44910179640718,2.272727272727273,7.766990291262135,28.39506172839506,7.954545454545454,86.53846153846155,0.0,0.0,9.090909090909092,0.0,20.0,0.0,65.55555555555556,57.99999999999999,34.883720930232556,51.578947368421055,40.44943820224719,51.78571428571429,23.711340206185564,40.35087719298245,17.391304347826086,36.36363636363637,0.0,9.090909090909092,10.714285714285714,16.27906976744186,76.0,0.0,0.0,0.0,0.0,0.0,nan,82.95772187281621,75.7039055404178,63.88462508936457,70.48450140896281,62.676162742781784,73.14525036818851,39.403490249658425,61.63526714513557,40.203804347826086,63.20767555797496,12.5,18.39143865842895,44.433421516754855,18.730179704016912,83.23076923076923,5.8441558441558445,3.125,4.545454545454546,0.0,20.0,0.0
5,85.27881040892194,58.012170385395535,70.817843866171,38.843813387423936,63.23815951197811,97.41439552760308,90.59945504087193,88.06509945750453,90.67357512953367,86.55256723716381,92.26804123711341,59.63855421686747,81.81818181818183,73.125,92.21556886227546,23.863636363636363,38.83495145631068,75.30864197530865,20.454545454545457,90.38461538461539,0.0,12.5,9.090909090909092,0.0,60.0,0.0,74.44444444444444,73.33333333333333,53.48837209302325,63.1578947368421,66.29213483146067,69.64285714285714,53.608247422680414,56.14035087719298,58.69565217391305,59.09090909090909,22.22222222222222,29.545454545454547,46.42857142857143,30.23255813953488,80.0,0.0,0.0,0.0,0.0,0.0,nan,95.38784067085953,78.06539509536785,78.48101265822784,74.78411053540587,62.10268948655256,81.18556701030928,22.590361445783135,64.77272727272727,21.25,72.45508982035929,3.4090909090909087,10.679611650485436,28.39506172839506,9.090909090909092,86.53846153846155,0.0,0.0,9.090909090909092,0.0,20.0,0.0,65.55555555555556,56.00000000000001,36.04651162790697,48.421052631578945,38.20224719101123,55.35714285714286,22.68041237113402,40.35087719298245,19.565217391304348,36.36363636363637,0.0,13.636363636363635,10.714285714285714,18.6046511627907,76.0,0.0,0.0,0.0,0.0,0.0,nan,83.20055904961565,74.49954586739328,64.02024895916564,69.25915825834015,63.287409686547065,74.61340206185568,39.62939386411626,60.77053429027113,43.15896739130435,65.03130103429505,12.373737373737374,23.174095322153576,40.211640211640216,19.595665961945034,83.23076923076923,0.0,3.125,4.545454545454546,0.0,20.0,0.0
