Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,91.00371747211896,69.1683569979716,74.9814126394052,41.17647058823529,69.08248942443277,98.04332634521313,96.59400544959128,94.2133815551537,95.50949913644214,91.68704156479217,91.49484536082474,98.19277108433735,84.6590909090909,71.25,88.62275449101796,68.18181818181817,41.74757281553398,86.41975308641975,35.22727272727273,59.61538461538461,18.181818181818183,25.0,27.27272727272727,0.0,20.0,0.0,78.88888888888889,90.0,76.74418604651163,82.10526315789474,74.15730337078652,62.5,94.84536082474226,66.66666666666666,52.17391304347826,36.36363636363637,58.333333333333336,25.0,64.28571428571429,18.6046511627907,40.0,0.0,0.0,20.0,0.0,0.0,nan,96.22641509433963,77.9291553133515,80.28933092224231,82.03799654576856,63.56968215158925,82.9896907216495,77.40963855421687,63.63636363636363,18.75,79.04191616766467,10.227272727272728,0.9708737864077669,37.03703703703704,1.1363636363636365,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,65.55555555555556,60.66666666666667,34.883720930232556,55.78947368421052,46.06741573033708,51.78571428571429,76.28865979381443,28.07017543859649,6.521739130434782,27.27272727272727,2.7777777777777777,0.0,7.142857142857142,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,84.6785464709993,81.29745685740237,71.53265486353504,78.86055813107899,68.87036070437625,72.19256259204712,86.68410756427772,60.75807416267942,37.17391304347826,57.825258573761566,34.8800505050505,16.929611650485434,48.72134038800705,14.323467230443972,30.673076923076923,4.545454545454546,6.25,11.818181818181817,0.0,5.0,0.0
4,92.00743494423791,70.99391480730223,75.817843866171,42.08924949290061,70.22711077765294,98.60237596086652,97.54768392370572,94.75587703435805,95.50949913644214,93.8875305623472,90.20618556701031,91.86746987951807,87.5,76.875,90.41916167664671,64.77272727272727,53.398058252427184,88.88888888888889,60.22727272727273,59.61538461538461,36.36363636363637,25.0,27.27272727272727,0.0,40.0,0.0,81.11111111111111,90.66666666666666,79.06976744186046,77.89473684210526,80.89887640449437,60.71428571428571,85.56701030927834,71.9298245614035,56.52173913043478,40.909090909090914,58.333333333333336,36.36363636363637,67.85714285714286,37.2093023255814,44.0,0.0,0.0,20.0,0.0,0.0,nan,96.78546470999301,86.51226158038146,82.64014466546112,85.31951640759931,68.7041564792176,81.70103092783505,52.40963855421686,68.75,16.25,76.04790419161677,3.4090909090909087,3.8834951456310676,49.382716049382715,2.272727272727273,23.076923076923077,0.0,12.5,0.0,0.0,0.0,0.0,72.22222222222221,69.33333333333334,40.69767441860465,55.78947368421052,48.31460674157304,50.0,48.45360824742268,36.84210526315789,8.695652173913043,31.818181818181817,0.0,4.545454545454546,17.857142857142858,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,87.18029350104821,86.0149863760218,74.29086589007107,78.62830651758931,72.95129254690805,70.65537555228276,69.57443174760898,66.25548245614036,39.58559782608695,59.79858464888405,31.628787878787875,24.547661076787293,55.99647266313933,25.508720930232556,31.673076923076923,9.090909090909092,9.375,11.818181818181817,0.0,10.0,0.0
5,91.93308550185874,70.4868154158215,75.46468401486989,41.27789046653144,69.7906188497704,98.53249475890985,96.73024523160763,94.9367088607595,95.33678756476684,94.37652811735941,91.23711340206185,92.7710843373494,87.5,76.875,91.01796407185628,62.5,52.42718446601942,88.88888888888889,55.68181818181818,55.769230769230774,36.36363636363637,25.0,27.27272727272727,66.66666666666666,40.0,0.0,80.0,88.0,80.23255813953489,76.84210526315789,82.02247191011236,62.5,86.5979381443299,71.9298245614035,56.52173913043478,45.45454545454545,61.111111111111114,31.818181818181817,67.85714285714286,30.23255813953488,36.0,0.0,0.0,20.0,66.66666666666666,0.0,nan,96.50593990216632,85.14986376021798,83.3634719710669,85.66493955094991,70.4156479217604,81.44329896907216,48.19277108433735,70.45454545454545,16.875,76.04790419161677,3.4090909090909087,2.912621359223301,45.67901234567901,1.1363636363636365,19.230769230769234,0.0,12.5,0.0,0.0,0.0,0.0,68.88888888888889,67.33333333333333,43.02325581395349,57.89473684210527,47.19101123595505,48.214285714285715,43.29896907216495,40.35087719298245,10.869565217391305,31.818181818181817,0.0,4.545454545454546,10.714285714285714,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,85.98183088749127,84.30336058128974,75.38899869632868,78.93464230524498,73.5014147962968,70.84867452135494,67.7151906595454,67.55881180223285,40.28532608695652,61.084648884050075,31.755050505050505,22.92586054721977,53.28483245149912,22.344080338266384,27.75,9.090909090909092,9.375,11.818181818181817,33.33333333333333,10.0,0.0
