Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,89.77695167286245,71.90669371196755,73.14126394052045,46.34888438133874,70.2934484266723,99.16142557651992,97.95640326975476,94.39421338155516,97.75474956822107,93.39853300733496,89.94845360824742,97.28915662650603,76.13636363636364,76.875,89.82035928143712,55.68181818181818,30.097087378640776,51.85185185185185,18.181818181818183,9.615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,88.88888888888889,94.66666666666667,80.23255813953489,93.6842105263158,88.76404494382022,67.85714285714286,97.9381443298969,52.63157894736842,58.69565217391305,86.36363636363636,52.77777777777778,27.27272727272727,17.857142857142858,9.30232558139535,4.0,0.0,0.0,0.0,0.0,0.0,nan,96.99510831586304,88.0108991825613,78.6618444846293,86.01036269430051,56.96821515892421,79.63917525773195,60.54216867469879,39.77272727272727,25.0,55.08982035928144,5.681818181818182,3.8834951456310676,13.580246913580247,2.272727272727273,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,82.22222222222221,82.66666666666667,38.372093023255815,70.52631578947368,41.57303370786517,60.71428571428571,61.855670103092784,19.298245614035086,19.565217391304348,13.636363636363635,2.7777777777777777,2.272727272727273,3.571428571428571,4.651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,nan,91.81691125087352,90.82515894641234,72.91517725724378,86.99390964457777,70.17595670448614,74.53976435935199,79.40628493354862,46.95972886762361,45.03396739130435,61.22754491017964,29.22979797979798,15.881509267431596,21.715167548500883,8.60200845665962,3.884615384615385,0.0,0.0,0.0,0.0,0.0,0.0
4,89.92565055762081,72.41379310344827,73.58736059479554,46.75456389452333,70.67034203759698,99.44095038434662,97.82016348773843,94.57504520795659,97.75474956822107,95.59902200488997,89.43298969072166,95.78313253012048,84.6590909090909,67.5,87.42514970059881,37.5,30.097087378640776,51.85185185185185,31.818181818181817,28.846153846153843,0.0,0.0,0.0,0.0,0.0,0.0,92.22222222222223,94.0,80.23255813953489,93.6842105263158,92.13483146067416,67.85714285714286,96.90721649484536,70.17543859649122,47.82608695652174,86.36363636363636,22.22222222222222,27.27272727272727,17.857142857142858,18.6046511627907,16.0,0.0,0.0,0.0,0.0,0.0,nan,98.04332634521313,87.87465940054496,79.56600361663652,84.97409326424871,65.77017114914425,79.89690721649485,52.71084337349398,49.43181818181818,17.5,51.49700598802395,2.272727272727273,4.854368932038835,13.580246913580247,3.4090909090909087,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,85.55555555555556,84.0,41.86046511627907,68.42105263157895,49.43820224719101,58.92857142857143,53.608247422680414,21.052631578947366,13.043478260869565,13.636363636363635,0.0,4.545454545454546,3.571428571428571,4.651162790697675,8.0,0.0,0.0,0.0,0.0,0.0,nan,93.81551362683439,90.92370572207085,74.05851802010176,86.20852649759114,75.73555671547484,74.0289027982327,74.75235995528506,56.32974481658692,36.46739130434783,59.73053892215569,15.498737373737374,16.692409532215358,21.715167548500883,14.620771670190274,14.653846153846152,0.0,0.0,0.0,0.0,0.0,0.0
5,90.3903345724907,73.32657200811359,73.66171003717471,46.45030425963489,70.95723021935348,99.37106918238993,98.22888283378747,93.85171790235081,97.92746113989638,95.35452322738386,89.43298969072166,96.3855421686747,84.0909090909091,74.375,88.02395209580838,45.45454545454545,32.038834951456316,61.72839506172839,29.545454545454547,26.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,92.22222222222223,95.33333333333334,75.5813953488372,93.6842105263158,91.01123595505618,67.85714285714286,97.9381443298969,70.17543859649122,56.52173913043478,86.36363636363636,38.88888888888889,29.545454545454547,28.57142857142857,13.953488372093023,12.0,0.0,0.0,0.0,0.0,0.0,nan,97.62403913347309,88.8283378746594,79.02350813743219,84.80138169257341,66.25916870415648,78.8659793814433,53.31325301204819,47.72727272727273,21.875,52.09580838323353,2.272727272727273,4.854368932038835,14.814814814814813,4.545454545454546,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,84.66666666666667,41.86046511627907,67.36842105263158,49.43820224719101,57.14285714285714,52.57731958762887,19.298245614035086,17.391304347826086,13.636363636363635,0.0,4.545454545454546,3.571428571428571,4.651162790697675,8.0,0.0,0.0,0.0,0.0,0.0,nan,93.13766596785464,91.76430517711172,72.57927162622482,85.94536860285429,75.51578253344688,73.32474226804123,75.05356477456216,55.32296650717703,42.54076086956522,60.029940119760475,21.654040404040405,17.74602824360106,27.171516754850085,13.173890063424947,13.173076923076922,0.0,0.0,0.0,0.0,0.0,0.0
