Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of,Pre avg. on,next to,above,behind,in the front of,under,near,below,beside,in,by,on the left of,beneath,on the right of,on the top of,across,against,inside,adjacent to,contain,outside of
3,90.91078066914498,70.99391480730223,74.36802973977696,42.90060851926978,69.79333343387349,98.74213836477988,97.82016348773843,92.2242314647378,95.85492227979275,94.62102689486552,90.4639175257732,84.93975903614458,83.52272727272727,83.125,86.82634730538922,51.13636363636363,53.398058252427184,88.88888888888889,53.40909090909091,51.92307692307693,9.090909090909092,25.0,9.090909090909092,0.0,0.0,0.0,82.22222222222221,91.33333333333333,69.76744186046511,87.36842105263159,86.51685393258427,69.64285714285714,77.31958762886599,63.1578947368421,71.73913043478261,40.909090909090914,38.88888888888889,40.909090909090914,75.0,32.55813953488372,36.0,0.0,0.0,20.0,0.0,0.0,nan,96.575821104123,88.5558583106267,79.92766726943941,84.80138169257341,69.43765281173594,79.63917525773195,27.40963855421687,69.31818181818183,33.125,69.46107784431138,1.1363636363636365,2.912621359223301,56.79012345679012,3.4090909090909087,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,67.77777777777779,77.33333333333333,43.02325581395349,62.10526315789474,51.68539325842697,55.35714285714286,27.835051546391753,38.59649122807017,21.73913043478261,18.181818181818183,0.0,2.272727272727273,28.57142857142857,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,86.32948986722572,88.76067211625795,71.23564910214895,82.53249704572313,75.56523172440318,73.7757731958763,54.376009191404805,63.64882376395534,52.43206521739131,53.84458356015242,22.79040404040404,24.873124448367165,62.3126102292769,22.925475687103592,25.82692307692308,2.272727272727273,6.25,7.272727272727273,0.0,0.0,0.0
4,91.59851301115242,72.41379310344827,75.07434944237919,43.40770791075051,70.62359086693259,98.81201956673655,96.59400544959128,94.2133815551537,96.37305699481865,94.13202933985329,91.49484536082474,89.45783132530121,86.93181818181817,76.875,91.01796407185628,60.22727272727273,52.42718446601942,85.18518518518519,59.09090909090909,55.769230769230774,9.090909090909092,25.0,9.090909090909092,0.0,0.0,0.0,83.33333333333334,90.0,79.06976744186046,86.31578947368422,84.26966292134831,66.07142857142857,84.5360824742268,71.9298245614035,60.86956521739131,45.45454545454545,52.77777777777778,38.63636363636363,64.28571428571429,39.53488372093023,36.0,0.0,0.0,20.0,0.0,0.0,nan,96.575821104123,85.96730245231608,82.82097649186257,87.04663212435233,68.94865525672371,81.70103092783505,43.674698795180724,70.45454545454545,14.374999999999998,74.8502994011976,0.0,1.9417475728155338,43.20987654320987,1.1363636363636365,17.307692307692307,0.0,12.5,0.0,0.0,0.0,0.0,68.88888888888889,70.0,46.51162790697674,64.21052631578948,50.56179775280899,55.35714285714286,46.391752577319586,42.10526315789473,10.869565217391305,27.27272727272727,0.0,2.272727272727273,7.142857142857142,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,86.90251572327045,85.64032697547684,75.65393834896337,83.48650122716117,74.47803631768359,73.6561119293078,66.01509129300707,67.85536283891547,40.747282608695656,59.648884050081655,28.251262626262626,23.819505736981462,49.95590828924163,25.521934460887948,27.26923076923077,2.272727272727273,9.375,7.272727272727273,0.0,0.0,0.0
5,91.61710037174721,72.31237322515213,75.03717472118959,43.20486815415821,70.54287911806179,98.88190076869321,97.13896457765668,94.2133815551537,95.50949913644214,93.64303178484109,90.72164948453609,89.1566265060241,85.79545454545455,75.625,91.01796407185628,60.22727272727273,56.310679611650485,88.88888888888889,59.09090909090909,57.692307692307686,27.27272727272727,25.0,9.090909090909092,33.33333333333333,0.0,0.0,83.33333333333334,90.66666666666666,80.23255813953489,81.05263157894737,84.26966292134831,66.07142857142857,84.5360824742268,68.42105263157895,56.52173913043478,45.45454545454545,55.55555555555556,43.18181818181818,71.42857142857143,37.2093023255814,40.0,0.0,0.0,20.0,33.33333333333333,0.0,nan,97.27463312368972,87.05722070844686,82.27848101265823,85.146804835924,66.25916870415648,80.6701030927835,44.87951807228915,67.61363636363636,13.750000000000002,76.04790419161677,0.0,1.9417475728155338,55.55555555555556,1.1363636363636365,15.384615384615385,0.0,12.5,0.0,0.0,0.0,0.0,72.22222222222221,70.0,43.02325581395349,57.89473684210527,49.43820224719101,53.57142857142857,47.42268041237113,42.10526315789473,13.043478260869565,27.27272727272727,0.0,2.272727272727273,21.428571428571427,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,nan,87.92802236198463,86.21571298819255,74.93691913032508,79.9009180983547,73.40251641438422,72.75865243004418,66.4987268662278,65.98385167464114,39.735054347826086,59.94828524768644,28.945707070707073,25.926743159752863,59.325396825396815,24.940539112050743,28.269230769230766,6.8181818181818175,9.375,7.272727272727273,16.666666666666664,0.0,0.0
