Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,94.72602739726027,66.66666666666666,88.9041095890411,44.0,73.57420091324201,100.0,99.21259842519686,89.13043478260869,91.17647058823529,77.77777777777779,68.0,80.0,68.42105263157895,86.66666666666667,81.81818181818183,85.71428571428571,33.33333333333333,50.0,25.0,63.63636363636363,nan,25.0,100.0,50.0,16.666666666666664,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,57.14285714285714,60.0,100.0,71.42857142857143,100.0,100.0,nan,0.0,nan,25.0,50.0,nan,33.33333333333333,nan,0.0,0.0,nan,33.33333333333333,0.0,33.33333333333333,nan,nan,0.0,nan,99.52651515151516,97.63779527559055,76.08695652173914,76.47058823529412,44.44444444444444,32.0,33.33333333333333,42.10526315789473,33.33333333333333,45.45454545454545,14.285714285714285,33.33333333333333,0.0,25.0,63.63636363636363,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,28.57142857142857,20.0,100.0,42.857142857142854,37.5,50.0,nan,0.0,nan,25.0,50.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,99.88162878787878,99.21259842519686,82.97101449275362,91.91176470588235,51.98412698412699,45.0,78.33333333333333,56.203007518796994,64.375,69.31818181818181,50.0,16.666666666666664,25.0,25.0,56.81818181818181,nan,14.583333333333332,50.0,12.5,4.166666666666666,nan,11.904761904761903,0.0,16.666666666666664,nan,nan,0.0,0.0
4,94.52054794520548,62.66666666666667,88.9041095890411,40.0,71.52283105022832,100.0,100.0,93.47826086956522,91.17647058823529,80.55555555555556,76.0,73.33333333333333,63.1578947368421,80.0,63.63636363636363,71.42857142857143,33.33333333333333,33.33333333333333,25.0,63.63636363636363,nan,50.0,50.0,50.0,16.666666666666664,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,57.14285714285714,60.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.81060606060606,100.0,80.43478260869566,79.41176470588235,47.22222222222222,36.0,20.0,31.57894736842105,26.666666666666668,27.27272727272727,0.0,33.33333333333333,0.0,25.0,54.54545454545454,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,28.57142857142857,40.0,0.0,28.57142857142857,25.0,25.0,nan,0.0,nan,25.0,50.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,99.95265151515152,100.0,85.14492753623188,92.64705882352942,53.37301587301587,53.0,23.333333333333332,45.11278195488721,54.791666666666664,47.72727272727273,35.714285714285715,16.666666666666664,16.666666666666664,25.0,67.04545454545453,nan,29.166666666666664,25.0,12.5,4.166666666666666,nan,0.0,0.0,16.666666666666664,nan,nan,0.0,0.0
5,94.58904109589041,62.66666666666667,89.24657534246575,42.66666666666667,72.29223744292237,100.0,100.0,93.47826086956522,94.11764705882352,80.55555555555556,76.0,70.0,63.1578947368421,80.0,63.63636363636363,71.42857142857143,33.33333333333333,33.33333333333333,25.0,72.72727272727273,nan,50.0,50.0,50.0,16.666666666666664,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,57.14285714285714,60.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.81060606060606,99.21259842519686,84.78260869565217,82.35294117647058,44.44444444444444,36.0,26.666666666666668,31.57894736842105,33.33333333333333,27.27272727272727,0.0,33.33333333333333,0.0,25.0,63.63636363636363,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,28.57142857142857,40.0,0.0,28.57142857142857,37.5,25.0,nan,0.0,nan,25.0,50.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,99.95265151515152,99.80314960629921,94.56521739130434,94.11764705882354,52.67857142857143,53.0,24.166666666666668,45.11278195488721,59.58333333333333,47.72727272727273,35.714285714285715,16.666666666666664,16.666666666666664,25.0,71.5909090909091,nan,29.166666666666664,25.0,12.5,4.166666666666666,nan,0.0,0.0,16.666666666666664,nan,nan,0.0,0.0
