Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,95.95890410958904,57.333333333333336,91.78082191780823,36.0,70.26826484018265,100.0,92.91338582677166,100.0,100.0,94.44444444444444,72.0,90.0,84.21052631578947,80.0,45.45454545454545,100.0,0.0,100.0,0.0,45.45454545454545,nan,75.0,100.0,50.0,33.33333333333333,nan,85.71428571428571,0.0,33.33333333333333,nan,nan,0.0,100.0,100.0,54.54545454545454,100.0,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,50.0,nan,0.0,nan,0.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.81060606060606,85.03937007874016,93.47826086956522,94.11764705882352,86.11111111111111,44.0,80.0,73.68421052631578,33.33333333333333,0.0,28.57142857142857,0.0,66.66666666666666,0.0,36.36363636363637,nan,50.0,100.0,0.0,16.666666666666664,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,36.36363636363637,66.66666666666666,100.0,57.14285714285714,40.0,0.0,28.57142857142857,50.0,0.0,nan,0.0,nan,0.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,67.21546170365069,90.03623188405797,98.52941176470588,77.28174603174602,49.0,42.5,60.90225563909773,62.70833333333333,23.863636363636363,64.28571428571428,0.0,83.33333333333333,0.0,57.95454545454545,nan,64.58333333333333,100.0,12.5,12.499999999999998,nan,58.33333333333333,0.0,16.666666666666664,nan,nan,0.0,100.0
4,96.0958904109589,58.666666666666664,91.84931506849315,33.33333333333333,69.98630136986301,100.0,93.7007874015748,100.0,97.05882352941177,91.66666666666666,72.0,90.0,84.21052631578947,86.66666666666667,45.45454545454545,100.0,0.0,100.0,0.0,54.54545454545454,nan,75.0,100.0,50.0,50.0,nan,85.71428571428571,0.0,33.33333333333333,nan,nan,0.0,100.0,100.0,54.54545454545454,100.0,100.0,71.42857142857143,40.0,0.0,57.14285714285714,100.0,50.0,nan,0.0,nan,0.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.81060606060606,88.9763779527559,93.47826086956522,91.17647058823529,72.22222222222221,40.0,80.0,73.68421052631578,46.666666666666664,0.0,28.57142857142857,0.0,66.66666666666666,0.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,36.36363636363637,66.66666666666666,100.0,28.57142857142857,20.0,0.0,28.57142857142857,62.5,0.0,nan,0.0,nan,0.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,68.3965640658554,90.03623188405797,97.05882352941177,65.97222222222221,43.0,42.5,60.90225563909773,73.95833333333334,23.863636363636363,64.28571428571428,0.0,83.33333333333333,0.0,60.22727272727273,nan,64.58333333333333,100.0,12.5,20.833333333333332,nan,58.33333333333333,0.0,16.666666666666664,nan,nan,0.0,100.0
5,95.95890410958904,60.0,91.5068493150685,33.33333333333333,70.19977168949771,100.0,94.48818897637796,100.0,88.23529411764706,91.66666666666666,72.0,90.0,84.21052631578947,80.0,45.45454545454545,100.0,0.0,100.0,0.0,54.54545454545454,nan,75.0,100.0,50.0,50.0,nan,85.71428571428571,0.0,66.66666666666666,nan,nan,0.0,100.0,100.0,63.63636363636363,100.0,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,50.0,nan,0.0,nan,0.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,66.66666666666666,nan,nan,0.0,nan,99.7159090909091,88.9763779527559,93.47826086956522,79.41176470588235,72.22222222222221,36.0,76.66666666666667,73.68421052631578,60.0,0.0,28.57142857142857,0.0,83.33333333333334,0.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,50.0,50.0,36.36363636363637,66.66666666666666,100.0,28.57142857142857,20.0,0.0,28.57142857142857,75.0,0.0,nan,0.0,nan,0.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,87.42897727272728,70.86614173228347,90.03623188405797,91.91176470588235,65.97222222222221,42.0,41.66666666666667,60.90225563909773,75.625,23.863636363636363,64.28571428571428,0.0,91.66666666666667,0.0,60.22727272727273,nan,64.58333333333333,100.0,12.5,20.833333333333332,nan,58.33333333333333,0.0,33.33333333333333,nan,nan,0.0,75.0
