Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Rel R@50,Rel R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Rel wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Rel wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Rel wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Rel wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Rel avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
0,55.342465753424655,52.0,12.602739726027398,30.666666666666664,37.65296803652968,30.089102124742972,5.333333333333334,26.66209732693626,1.3333333333333335,15.854466529586476,58.14393939393939,74.01574803149606,0.0,100.0,0.0,100.0,0.0,0.0,80.0,0.0,100.0,0.0,0.0,100.0,36.36363636363637,nan,0.0,0.0,0.0,100.0,nan,71.42857142857143,0.0,100.0,nan,nan,0.0,0.0,75.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,75.0,0.0,nan,0.0,nan,100.0,0.0,nan,0.0,nan,0.0,100.0,nan,66.66666666666666,0.0,100.0,nan,nan,0.0,nan,6.4393939393939394,29.133858267716533,0.0,97.05882352941177,0.0,100.0,0.0,0.0,26.666666666666668,0.0,100.0,0.0,0.0,100.0,0.0,nan,0.0,0.0,0.0,66.66666666666666,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,0.0,0.0,72.72727272727273,0.0,50.0,0.0,100.0,0.0,0.0,12.5,0.0,nan,0.0,nan,100.0,0.0,nan,0.0,nan,0.0,100.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,32.48106060606061,26.77165354330709,26.08695652173913,29.411764705882355,19.444444444444446,28.000000000000004,33.33333333333333,26.31578947368421,6.666666666666667,10.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,14.285714285714285,33.33333333333333,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,30.58712121212121,18.11023622047244,19.565217391304348,23.52941176470588,8.333333333333332,16.0,23.333333333333332,21.052631578947366,6.666666666666667,0.0,42.857142857142854,0.0,0.0,25.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,25.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,34.89583333333333,68.96921975662133,0.0,86.76470588235294,0.0,100.0,0.0,0.0,48.541666666666664,0.0,100.0,0.0,0.0,100.0,9.090909090909092,nan,0.0,0.0,0.0,91.66666666666666,nan,38.09523809523809,0.0,66.66666666666666,nan,nan,0.0,0.0,15.767045454545455,11.220472440944881,11.41304347826087,13.235294117647058,10.515873015873016,11.0,14.166666666666664,15.413533834586467,3.3333333333333335,2.5,42.857142857142854,0.0,0.0,37.5,4.545454545454546,nan,0.0,0.0,0.0,8.333333333333332,nan,3.571428571428571,16.666666666666664,0.0,nan,nan,0.0,0.0
3,96.16438356164385,72.0,91.71232876712328,44.0,75.96917808219177,30.50034270047978,13.333333333333334,27.96435915010281,8.0,19.94950879597898,100.0,92.91338582677166,97.82608695652173,97.05882352941177,91.66666666666666,84.0,86.66666666666667,84.21052631578947,80.0,72.72727272727273,85.71428571428571,0.0,83.33333333333334,50.0,54.54545454545454,nan,50.0,100.0,50.0,50.0,nan,57.14285714285714,0.0,100.0,nan,nan,100.0,50.0,100.0,81.81818181818183,66.66666666666666,100.0,85.71428571428571,80.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,50.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,100.0,nan,nan,100.0,nan,99.81060606060606,81.10236220472441,93.47826086956522,88.23529411764706,75.0,60.0,70.0,73.68421052631578,60.0,36.36363636363637,28.57142857142857,0.0,50.0,50.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,0.0,75.0,36.36363636363637,66.66666666666666,100.0,42.857142857142854,60.0,0.0,28.57142857142857,75.0,25.0,nan,0.0,nan,50.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,33.33333333333333,nan,nan,0.0,nan,32.859848484848484,27.559055118110237,26.08695652173913,29.411764705882355,22.22222222222222,28.000000000000004,30.0,31.57894736842105,6.666666666666667,20.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,25.0,18.181818181818183,0.0,0.0,14.285714285714285,20.0,0.0,28.57142857142857,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,32.10227272727273,18.11023622047244,26.08695652173913,23.52941176470588,13.88888888888889,20.0,16.666666666666664,15.789473684210526,6.666666666666667,20.0,0.0,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,0.0,9.090909090909092,0.0,0.0,14.285714285714285,20.0,0.0,0.0,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,73.04939155332856,81.15942028985506,96.32352941176471,73.8095238095238,71.0,39.16666666666667,60.90225563909773,75.625,52.27272727272728,57.14285714285714,0.0,66.66666666666667,50.0,60.22727272727273,nan,58.33333333333333,100.0,12.5,20.833333333333332,nan,51.19047619047619,0.0,66.66666666666666,nan,nan,50.0,25.0,22.490530303030305,18.23550465282749,13.043478260869565,13.235294117647058,16.170634920634917,22.0,11.666666666666666,18.984962406015036,3.3333333333333335,22.5,21.428571428571427,0.0,0.0,50.0,4.545454545454546,nan,0.0,0.0,0.0,8.333333333333332,nan,0.0,16.666666666666664,0.0,nan,nan,0.0,0.0
4,96.43835616438356,68.0,91.78082191780823,40.0,74.05479452054794,30.568882796435915,13.333333333333334,28.23851953392735,10.666666666666668,20.70185058259082,100.0,92.91338582677166,97.82608695652173,94.11764705882352,91.66666666666666,72.0,90.0,84.21052631578947,80.0,63.63636363636363,100.0,0.0,83.33333333333334,25.0,81.81818181818183,nan,75.0,100.0,50.0,66.66666666666666,nan,85.71428571428571,0.0,100.0,nan,nan,100.0,100.0,100.0,81.81818181818183,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,33.33333333333333,nan,100.0,0.0,100.0,nan,nan,100.0,nan,99.81060606060606,81.88976377952756,93.47826086956522,85.29411764705883,77.77777777777779,44.0,80.0,73.68421052631578,66.66666666666666,36.36363636363637,28.57142857142857,0.0,66.66666666666666,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,50.0,75.0,36.36363636363637,66.66666666666666,100.0,57.14285714285714,20.0,0.0,28.57142857142857,75.0,25.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,32.859848484848484,27.559055118110237,26.08695652173913,29.411764705882355,19.444444444444446,32.0,33.33333333333333,31.57894736842105,6.666666666666667,20.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,25.0,18.181818181818183,0.0,0.0,14.285714285714285,20.0,0.0,28.57142857142857,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,31.91287878787879,19.68503937007874,23.91304347826087,26.47058823529412,11.11111111111111,20.0,20.0,21.052631578947366,6.666666666666667,20.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,0.0,18.181818181818183,0.0,0.0,14.285714285714285,20.0,0.0,14.285714285714285,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,73.24624194702935,81.15942028985506,94.8529411764706,74.50396825396825,44.0,42.5,60.90225563909773,77.29166666666666,50.0,64.28571428571428,0.0,75.0,25.0,67.04545454545455,nan,64.58333333333333,100.0,12.5,33.33333333333333,nan,58.33333333333333,0.0,50.0,nan,nan,50.0,75.0,22.44318181818182,20.901932712956338,12.5,13.97058823529412,14.781746031746033,23.0,13.333333333333332,23.872180451127818,3.3333333333333335,22.5,42.857142857142854,0.0,0.0,50.0,4.545454545454546,nan,0.0,0.0,0.0,8.333333333333332,nan,0.0,16.666666666666664,0.0,nan,nan,0.0,0.0
5,96.16438356164385,65.33333333333333,91.36986301369862,38.666666666666664,72.88356164383562,30.568882796435915,13.333333333333334,28.101439342015077,8.0,20.000913867946082,100.0,92.1259842519685,97.82608695652173,94.11764705882352,88.88888888888889,72.0,86.66666666666667,84.21052631578947,80.0,63.63636363636363,100.0,0.0,83.33333333333334,25.0,81.81818181818183,nan,75.0,100.0,50.0,50.0,nan,85.71428571428571,0.0,100.0,nan,nan,100.0,100.0,100.0,72.72727272727273,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,100.0,nan,nan,100.0,nan,99.81060606060606,81.88976377952756,93.47826086956522,85.29411764705883,63.888888888888886,48.0,80.0,73.68421052631578,60.0,27.27272727272727,28.57142857142857,0.0,66.66666666666666,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,50.0,75.0,27.27272727272727,66.66666666666666,100.0,42.857142857142854,40.0,0.0,28.57142857142857,75.0,25.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,32.859848484848484,27.559055118110237,26.08695652173913,29.411764705882355,19.444444444444446,32.0,33.33333333333333,31.57894736842105,6.666666666666667,20.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,25.0,18.181818181818183,0.0,0.0,14.285714285714285,20.0,0.0,28.57142857142857,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,31.91287878787879,18.89763779527559,23.91304347826087,26.47058823529412,11.11111111111111,20.0,23.333333333333332,15.789473684210526,6.666666666666667,10.0,42.857142857142854,0.0,0.0,50.0,9.090909090909092,nan,0.0,0.0,0.0,16.666666666666664,nan,0.0,33.33333333333333,0.0,nan,nan,0.0,0.0,0.0,9.090909090909092,0.0,0.0,14.285714285714285,20.0,0.0,0.0,0.0,25.0,nan,0.0,nan,50.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,68.50393700787401,81.15942028985506,94.8529411764706,66.76587301587301,50.0,41.66666666666667,60.90225563909773,75.625,47.72727272727273,64.28571428571428,0.0,75.0,25.0,67.04545454545455,nan,64.58333333333333,100.0,12.5,20.833333333333332,nan,58.33333333333333,0.0,50.0,nan,nan,50.0,75.0,22.44318181818182,18.432355046528276,12.5,13.97058823529412,14.781746031746033,23.0,14.166666666666664,18.984962406015036,3.3333333333333335,20.0,42.857142857142854,0.0,0.0,50.0,4.545454545454546,nan,0.0,0.0,0.0,8.333333333333332,nan,0.0,16.666666666666664,0.0,nan,nan,0.0,0.0
