Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,98.28767123287672,84.0,96.57534246575342,70.66666666666667,87.3824200913242,100.0,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0,80.0,100.0,85.71428571428571,100.0,100.0,100.0,72.72727272727273,nan,50.0,100.0,50.0,100.0,nan,0.0,0.0,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,87.5,100.0,nan,100.0,nan,100.0,100.0,nan,33.33333333333333,nan,0.0,100.0,nan,0.0,0.0,66.66666666666666,nan,nan,0.0,nan,100.0,98.4251968503937,97.82608695652173,100.0,94.44444444444444,96.0,96.66666666666667,100.0,46.666666666666664,100.0,28.57142857142857,100.0,33.33333333333333,100.0,63.63636363636363,nan,25.0,0.0,50.0,83.33333333333334,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,100.0,80.0,0.0,100.0,25.0,100.0,nan,100.0,nan,100.0,50.0,nan,0.0,nan,0.0,100.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,100.0,99.60629921259843,91.1231884057971,100.0,98.61111111111111,94.0,48.333333333333336,100.0,59.791666666666664,100.0,57.14285714285714,100.0,66.66666666666666,100.0,71.5909090909091,nan,27.083333333333332,50.0,25.0,95.83333333333334,nan,0.0,0.0,49.999999999999986,nan,nan,0.0,0.0
4,98.6986301369863,89.33333333333333,96.78082191780823,73.33333333333333,89.53652968036529,100.0,100.0,100.0,100.0,97.22222222222221,100.0,96.66666666666667,100.0,80.0,100.0,100.0,100.0,100.0,100.0,72.72727272727273,nan,100.0,100.0,50.0,100.0,nan,57.14285714285714,0.0,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,87.5,100.0,nan,100.0,nan,100.0,100.0,nan,100.0,nan,0.0,100.0,nan,66.66666666666666,0.0,66.66666666666666,nan,nan,0.0,nan,100.0,98.4251968503937,97.82608695652173,100.0,91.66666666666666,100.0,96.66666666666667,100.0,53.333333333333336,100.0,28.57142857142857,100.0,33.33333333333333,100.0,63.63636363636363,nan,50.0,0.0,50.0,83.33333333333334,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,85.71428571428571,100.0,0.0,100.0,37.5,100.0,nan,100.0,nan,100.0,50.0,nan,33.33333333333333,nan,0.0,100.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,100.0,99.60629921259843,91.1231884057971,100.0,93.65079365079366,100.0,48.333333333333336,100.0,64.58333333333334,100.0,64.28571428571428,100.0,66.66666666666666,100.0,71.5909090909091,nan,70.83333333333333,50.0,25.0,95.83333333333334,nan,34.52380952380952,0.0,49.999999999999986,nan,nan,0.0,0.0
5,98.76712328767124,89.33333333333333,96.78082191780823,73.33333333333333,89.55365296803653,100.0,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0,80.0,100.0,100.0,100.0,100.0,100.0,72.72727272727273,nan,100.0,100.0,50.0,100.0,nan,57.14285714285714,0.0,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,87.5,100.0,nan,100.0,nan,100.0,100.0,nan,100.0,nan,0.0,100.0,nan,66.66666666666666,0.0,66.66666666666666,nan,nan,0.0,nan,100.0,98.4251968503937,97.82608695652173,100.0,91.66666666666666,100.0,96.66666666666667,100.0,53.333333333333336,100.0,28.57142857142857,100.0,33.33333333333333,100.0,63.63636363636363,nan,50.0,0.0,50.0,83.33333333333334,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,85.71428571428571,100.0,0.0,100.0,37.5,100.0,nan,100.0,nan,100.0,50.0,nan,33.33333333333333,nan,0.0,100.0,nan,0.0,0.0,33.33333333333333,nan,nan,0.0,nan,100.0,99.60629921259843,91.1231884057971,100.0,94.34523809523809,100.0,48.333333333333336,100.0,64.58333333333334,100.0,64.28571428571428,100.0,66.66666666666666,100.0,71.5909090909091,nan,70.83333333333333,50.0,25.0,95.83333333333334,nan,34.52380952380952,0.0,49.999999999999986,nan,nan,0.0,0.0
