Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,98.97260273972603,88.0,96.64383561643835,70.66666666666667,88.57077625570777,100.0,96.06299212598425,97.82608695652173,100.0,100.0,100.0,96.66666666666667,84.21052631578947,73.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,nan,100.0,100.0,100.0,83.33333333333334,nan,100.0,100.0,100.0,nan,nan,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,57.14285714285714,50.0,100.0,nan,100.0,nan,100.0,100.0,nan,100.0,nan,100.0,66.66666666666666,nan,100.0,100.0,100.0,nan,nan,100.0,nan,100.0,93.7007874015748,89.13043478260869,97.05882352941177,94.44444444444444,92.0,93.33333333333333,84.21052631578947,33.33333333333333,100.0,71.42857142857143,100.0,100.0,100.0,90.9090909090909,nan,50.0,50.0,50.0,83.33333333333334,nan,71.42857142857143,66.66666666666666,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,85.71428571428571,60.0,0.0,57.14285714285714,12.5,100.0,nan,100.0,nan,100.0,100.0,nan,33.33333333333333,nan,0.0,66.66666666666666,nan,100.0,100.0,33.33333333333333,nan,nan,0.0,nan,100.0,97.44094488188976,80.07246376811594,99.26470588235294,95.03968253968254,88.0,72.5,70.6766917293233,42.291666666666664,100.0,85.71428571428572,100.0,100.0,100.0,97.72727272727272,nan,70.83333333333333,75.0,62.5,75.0,nan,92.85714285714286,91.66666666666666,66.66666666666666,nan,nan,50.0,50.0
4,98.76712328767124,88.0,96.98630136986301,70.66666666666667,88.60502283105023,100.0,97.63779527559055,100.0,97.05882352941177,100.0,96.0,96.66666666666667,84.21052631578947,80.0,100.0,100.0,66.66666666666666,100.0,75.0,90.9090909090909,nan,100.0,100.0,100.0,83.33333333333334,nan,71.42857142857143,100.0,100.0,nan,nan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,57.14285714285714,62.5,100.0,nan,100.0,nan,75.0,100.0,nan,100.0,nan,100.0,66.66666666666666,nan,100.0,100.0,100.0,nan,nan,100.0,nan,100.0,93.7007874015748,97.82608695652173,91.17647058823529,94.44444444444444,88.0,93.33333333333333,84.21052631578947,46.666666666666664,100.0,100.0,66.66666666666666,100.0,75.0,90.9090909090909,nan,75.0,100.0,50.0,83.33333333333334,nan,42.857142857142854,100.0,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,50.0,85.71428571428571,60.0,0.0,57.14285714285714,37.5,100.0,nan,100.0,nan,75.0,100.0,nan,66.66666666666666,nan,0.0,66.66666666666666,nan,33.33333333333333,100.0,66.66666666666666,nan,nan,0.0,nan,100.0,97.83464566929133,91.1231884057971,84.55882352941177,95.03968253968254,81.0,72.5,70.6766917293233,56.666666666666664,100.0,100.0,83.33333333333333,100.0,75.0,95.45454545454545,nan,85.41666666666666,100.0,62.5,75.0,nan,61.90476190476191,100.0,83.33333333333331,nan,nan,50.0,50.0
5,98.63013698630137,86.66666666666667,96.91780821917808,70.66666666666667,88.2203196347032,100.0,97.63779527559055,100.0,97.05882352941177,100.0,100.0,96.66666666666667,84.21052631578947,73.33333333333333,100.0,100.0,66.66666666666666,100.0,75.0,90.9090909090909,nan,100.0,100.0,100.0,83.33333333333334,nan,71.42857142857143,100.0,100.0,nan,nan,0.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.14285714285714,50.0,100.0,nan,100.0,nan,75.0,100.0,nan,100.0,nan,100.0,66.66666666666666,nan,100.0,100.0,100.0,nan,nan,0.0,nan,100.0,92.91338582677166,95.65217391304348,88.23529411764706,94.44444444444444,92.0,96.66666666666667,84.21052631578947,40.0,100.0,100.0,66.66666666666666,100.0,75.0,90.9090909090909,nan,100.0,100.0,50.0,83.33333333333334,nan,57.14285714285714,66.66666666666666,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,33.33333333333333,0.0,85.71428571428571,60.0,100.0,57.14285714285714,25.0,100.0,nan,100.0,nan,75.0,100.0,nan,100.0,nan,0.0,66.66666666666666,nan,66.66666666666666,100.0,66.66666666666666,nan,nan,0.0,nan,100.0,97.63779527559055,82.2463768115942,71.32352941176471,95.03968253968254,88.0,98.33333333333334,70.6766917293233,47.08333333333333,100.0,100.0,83.33333333333333,100.0,75.0,95.45454545454545,nan,100.0,100.0,62.5,75.0,nan,73.80952380952381,91.66666666666666,83.33333333333331,nan,nan,0.0,25.0
