Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,98.35616438356163,80.0,95.95890410958904,70.66666666666667,86.24543378995433,100.0,98.4251968503937,97.82608695652173,100.0,100.0,100.0,93.33333333333333,84.21052631578947,66.66666666666666,100.0,100.0,33.33333333333333,100.0,100.0,100.0,nan,100.0,100.0,100.0,83.33333333333334,nan,28.57142857142857,100.0,33.33333333333333,nan,nan,0.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,0.0,57.14285714285714,62.5,100.0,nan,0.0,nan,100.0,100.0,nan,100.0,nan,100.0,66.66666666666666,nan,33.33333333333333,100.0,33.33333333333333,nan,nan,0.0,nan,100.0,95.2755905511811,89.13043478260869,97.05882352941177,94.44444444444444,76.0,86.66666666666667,84.21052631578947,20.0,100.0,100.0,33.33333333333333,100.0,100.0,90.9090909090909,nan,100.0,0.0,50.0,83.33333333333334,nan,0.0,66.66666666666666,33.33333333333333,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,100.0,60.0,0.0,57.14285714285714,25.0,100.0,nan,0.0,nan,100.0,100.0,nan,100.0,nan,0.0,66.66666666666666,nan,0.0,100.0,33.33333333333333,nan,nan,0.0,nan,100.0,98.4251968503937,80.07246376811594,99.26470588235294,98.61111111111111,84.0,45.0,70.6766917293233,43.541666666666664,100.0,100.0,16.666666666666664,100.0,100.0,97.72727272727272,nan,100.0,50.0,62.5,75.0,nan,15.476190476190474,91.66666666666666,33.33333333333333,nan,nan,0.0,50.0
4,98.63013698630137,86.66666666666667,97.32876712328768,77.33333333333333,89.98972602739725,100.0,100.0,93.47826086956522,100.0,100.0,100.0,100.0,84.21052631578947,60.0,100.0,100.0,66.66666666666666,100.0,100.0,90.9090909090909,nan,100.0,100.0,50.0,100.0,nan,57.14285714285714,100.0,100.0,nan,nan,0.0,50.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,57.14285714285714,62.5,100.0,nan,0.0,nan,100.0,100.0,nan,100.0,nan,0.0,100.0,nan,100.0,100.0,100.0,nan,nan,0.0,nan,100.0,98.4251968503937,89.13043478260869,94.11764705882352,97.22222222222221,88.0,93.33333333333333,84.21052631578947,40.0,100.0,100.0,66.66666666666666,100.0,100.0,90.9090909090909,nan,75.0,100.0,50.0,100.0,nan,57.14285714285714,66.66666666666666,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,100.0,60.0,100.0,57.14285714285714,25.0,100.0,nan,0.0,nan,100.0,100.0,nan,66.66666666666666,nan,0.0,100.0,nan,100.0,100.0,66.66666666666666,nan,nan,0.0,nan,100.0,99.60629921259843,78.98550724637681,98.52941176470588,99.30555555555556,87.0,98.33333333333333,70.6766917293233,46.875,100.0,100.0,33.33333333333333,100.0,100.0,95.45454545454545,nan,85.41666666666666,100.0,25.0,100.0,nan,78.57142857142857,91.66666666666666,83.33333333333331,nan,nan,0.0,25.0
5,98.83561643835617,89.33333333333333,97.3972602739726,78.66666666666666,91.0582191780822,100.0,100.0,97.82608695652173,97.05882352941177,100.0,100.0,100.0,84.21052631578947,73.33333333333333,100.0,100.0,66.66666666666666,100.0,100.0,90.9090909090909,nan,100.0,100.0,100.0,100.0,nan,57.14285714285714,100.0,100.0,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,57.14285714285714,75.0,100.0,nan,0.0,nan,100.0,100.0,nan,100.0,nan,100.0,100.0,nan,100.0,100.0,100.0,nan,nan,0.0,nan,100.0,97.63779527559055,89.13043478260869,91.17647058823529,100.0,92.0,96.66666666666667,84.21052631578947,46.666666666666664,100.0,100.0,66.66666666666666,83.33333333333334,100.0,90.9090909090909,nan,100.0,50.0,50.0,100.0,nan,57.14285714285714,66.66666666666666,66.66666666666666,nan,nan,0.0,0.0,100.0,100.0,66.66666666666666,50.0,100.0,60.0,100.0,57.14285714285714,37.5,100.0,nan,0.0,nan,100.0,100.0,nan,100.0,nan,0.0,100.0,nan,100.0,100.0,66.66666666666666,nan,nan,0.0,nan,100.0,99.40944881889763,80.07246376811594,84.55882352941177,100.0,88.0,99.16666666666667,70.6766917293233,58.12499999999999,100.0,100.0,33.33333333333333,91.66666666666667,100.0,95.45454545454545,nan,100.0,75.0,62.5,100.0,nan,78.57142857142857,91.66666666666666,83.33333333333331,nan,nan,0.0,0.0
