Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,96.30136986301369,64.0,92.12328767123287,44.0,74.10616438356163,100.0,96.06299212598425,95.65217391304348,100.0,86.11111111111111,72.0,86.66666666666667,84.21052631578947,86.66666666666667,45.45454545454545,100.0,0.0,100.0,25.0,81.81818181818183,nan,75.0,100.0,50.0,33.33333333333333,nan,85.71428571428571,0.0,66.66666666666666,nan,nan,0.0,100.0,100.0,81.81818181818183,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,100.0,50.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,66.66666666666666,nan,nan,0.0,nan,99.81060606060606,91.33858267716536,91.30434782608695,94.11764705882352,66.66666666666666,48.0,80.0,68.42105263157895,60.0,9.090909090909092,28.57142857142857,0.0,66.66666666666666,25.0,18.181818181818183,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,63.63636363636363,66.66666666666666,100.0,57.14285714285714,40.0,0.0,28.57142857142857,75.0,0.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,83.21403006442377,80.07246376811594,98.52941176470588,70.33730158730158,50.0,41.66666666666667,59.586466165413526,80.41666666666667,26.136363636363637,64.28571428571428,0.0,83.33333333333333,25.0,62.5,nan,64.58333333333333,100.0,12.5,16.666666666666664,nan,58.33333333333333,0.0,33.33333333333333,nan,nan,0.0,100.0
4,95.95890410958904,62.66666666666667,91.98630136986301,42.66666666666667,73.31963470319634,100.0,93.7007874015748,97.82608695652173,94.11764705882352,86.11111111111111,72.0,86.66666666666667,84.21052631578947,80.0,54.54545454545454,100.0,0.0,100.0,25.0,81.81818181818183,nan,75.0,100.0,50.0,50.0,nan,71.42857142857143,0.0,33.33333333333333,nan,nan,0.0,100.0,100.0,81.81818181818183,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.7159090909091,87.4015748031496,93.47826086956522,88.23529411764706,63.888888888888886,48.0,76.66666666666667,73.68421052631578,66.66666666666666,27.27272727272727,28.57142857142857,0.0,66.66666666666666,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,100.0,50.0,54.54545454545454,66.66666666666666,100.0,42.857142857142854,40.0,0.0,28.57142857142857,75.0,25.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,33.33333333333333,nan,nan,0.0,nan,87.42897727272728,79.3664996420902,81.15942028985506,95.58823529411765,66.07142857142857,50.0,40.833333333333336,60.90225563909773,77.29166666666666,45.45454545454545,64.28571428571428,0.0,83.33333333333333,25.0,67.04545454545455,nan,64.58333333333333,100.0,12.5,20.833333333333332,nan,54.76190476190476,0.0,33.33333333333333,nan,nan,0.0,100.0
5,96.0958904109589,64.0,91.43835616438356,38.666666666666664,72.55022831050229,100.0,92.1259842519685,97.82608695652173,94.11764705882352,88.88888888888889,72.0,86.66666666666667,84.21052631578947,80.0,63.63636363636363,100.0,0.0,100.0,25.0,81.81818181818183,nan,75.0,100.0,50.0,66.66666666666666,nan,85.71428571428571,0.0,33.33333333333333,nan,nan,0.0,100.0,100.0,81.81818181818183,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,75.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,33.33333333333333,nan,100.0,0.0,33.33333333333333,nan,nan,0.0,nan,99.7159090909091,83.46456692913385,93.47826086956522,85.29411764705883,63.888888888888886,48.0,73.33333333333333,73.68421052631578,60.0,27.27272727272727,28.57142857142857,0.0,66.66666666666666,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,33.33333333333333,nan,nan,0.0,100.0,50.0,36.36363636363637,66.66666666666666,100.0,42.857142857142854,40.0,0.0,28.57142857142857,62.5,25.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,33.33333333333333,nan,nan,0.0,nan,87.42897727272728,73.44309234073015,81.15942028985506,94.8529411764706,66.76587301587301,50.0,40.0,60.90225563909773,72.5,47.72727272727273,64.28571428571428,0.0,83.33333333333333,25.0,67.04545454545455,nan,64.58333333333333,100.0,12.5,33.33333333333333,nan,58.33333333333333,0.0,33.33333333333333,nan,nan,0.0,100.0
