Epoch,Pre R@50,Pre R@50 ZS,R@20,R@20 ZS,Avg,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate,Pre avg. wear,hold,sit,ride,carry,look,use,cover,touch,watch,talk,fly,pull,park,drive,walk,lean,eat,face,lying,hit,play,rest,follow,feed,kick,walk,skate
3,96.36986301369863,62.66666666666667,92.32876712328768,34.66666666666667,71.50799086757992,100.0,94.48818897637796,97.82608695652173,100.0,88.88888888888889,72.0,90.0,84.21052631578947,80.0,45.45454545454545,100.0,0.0,100.0,50.0,90.9090909090909,nan,75.0,100.0,50.0,33.33333333333333,nan,57.14285714285714,0.0,66.66666666666666,nan,nan,100.0,100.0,100.0,63.63636363636363,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,50.0,nan,0.0,nan,50.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,66.66666666666666,nan,nan,100.0,nan,99.81060606060606,88.9763779527559,89.13043478260869,94.11764705882352,63.888888888888886,40.0,90.0,73.68421052631578,60.0,27.27272727272727,28.57142857142857,0.0,83.33333333333334,50.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,27.27272727272727,33.33333333333333,100.0,0.0,40.0,0.0,28.57142857142857,62.5,50.0,nan,0.0,nan,50.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,68.59341445955619,71.7391304347826,98.52941176470588,56.0515873015873,48.0,45.0,60.90225563909773,72.5,43.18181818181818,64.28571428571428,0.0,91.66666666666667,50.0,69.31818181818181,nan,64.58333333333333,100.0,12.5,16.666666666666664,nan,51.19047619047619,0.0,33.33333333333333,nan,nan,50.0,100.0
4,96.5068493150685,64.0,92.12328767123287,34.66666666666667,71.82420091324201,100.0,92.91338582677166,100.0,100.0,94.44444444444444,72.0,90.0,84.21052631578947,80.0,45.45454545454545,100.0,0.0,100.0,25.0,90.9090909090909,nan,75.0,100.0,50.0,33.33333333333333,nan,85.71428571428571,0.0,66.66666666666666,nan,nan,100.0,100.0,100.0,63.63636363636363,100.0,100.0,85.71428571428571,40.0,0.0,57.14285714285714,87.5,50.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,66.66666666666666,nan,nan,100.0,nan,99.81060606060606,85.03937007874016,91.30434782608695,94.11764705882352,75.0,44.0,83.33333333333334,73.68421052631578,66.66666666666666,18.181818181818183,28.57142857142857,0.0,66.66666666666666,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,27.27272727272727,33.33333333333333,100.0,14.285714285714285,40.0,0.0,28.57142857142857,75.0,25.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,67.21546170365067,81.15942028985506,98.52941176470588,67.36111111111111,49.0,43.333333333333336,60.90225563909773,77.29166666666666,34.65909090909091,64.28571428571428,0.0,83.33333333333333,25.0,69.31818181818181,nan,64.58333333333333,100.0,12.5,16.666666666666664,nan,58.33333333333333,0.0,33.33333333333333,nan,nan,50.0,100.0
5,96.36986301369863,62.66666666666667,91.71232876712328,33.33333333333333,71.02054794520548,100.0,93.7007874015748,97.82608695652173,97.05882352941177,88.88888888888889,72.0,90.0,84.21052631578947,80.0,45.45454545454545,100.0,0.0,100.0,25.0,90.9090909090909,nan,75.0,100.0,50.0,50.0,nan,85.71428571428571,0.0,66.66666666666666,nan,nan,100.0,100.0,100.0,72.72727272727273,66.66666666666666,100.0,71.42857142857143,40.0,0.0,57.14285714285714,87.5,50.0,nan,0.0,nan,25.0,100.0,nan,66.66666666666666,nan,0.0,0.0,nan,100.0,0.0,66.66666666666666,nan,nan,100.0,nan,99.81060606060606,85.8267716535433,91.30434782608695,91.17647058823529,63.888888888888886,44.0,86.66666666666667,73.68421052631578,53.333333333333336,0.0,28.57142857142857,0.0,83.33333333333334,25.0,36.36363636363637,nan,50.0,100.0,0.0,33.33333333333333,nan,14.285714285714285,0.0,0.0,nan,nan,0.0,100.0,75.0,45.45454545454545,33.33333333333333,100.0,0.0,40.0,0.0,28.57142857142857,62.5,0.0,nan,0.0,nan,25.0,50.0,nan,66.66666666666666,nan,0.0,0.0,nan,33.33333333333333,0.0,0.0,nan,nan,0.0,nan,93.70265151515152,74.42734430923407,72.28260869565216,97.05882352941177,56.0515873015873,49.0,44.16666666666667,60.90225563909773,70.83333333333334,23.863636363636363,64.28571428571428,0.0,91.66666666666667,25.0,69.31818181818181,nan,64.58333333333333,100.0,12.5,20.833333333333332,nan,58.33333333333333,0.0,33.33333333333333,nan,nan,50.0,100.0
